# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.774       52.301      -4.40  SCHIPHOL
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20141201,    1,   70,   50,   50,   80,   19,     ,    2,    0,    0,    0,    0,10136,   59,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,    2,   50,   60,   70,   90,   17,     ,    0,    0,    0,    0,    0,10134,   59,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,    3,   60,   50,   60,   80,   17,     ,   -1,    0,    0,    0,    0,10132,   60,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20141201,    4,   70,   60,   60,   90,   16,     ,   -3,    0,    0,    0,    0,10135,   61,    8,   87,     ,    5,    0,    0,    0,    0,    0
  240,20141201,    5,   70,   60,   50,   90,   14,     ,   -4,    0,    0,    0,    0,10136,   59,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,    6,   80,   50,   60,   90,   13,   12,   -4,    0,    0,    0,    0,10133,   58,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,    7,   80,   60,   60,   90,   14,     ,   -3,    0,    0,    0,    0,10138,   57,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,    8,   80,   50,   60,   80,   14,     ,   -2,    0,    1,    0,    0,10141,   57,    8,   89,   10,    7,    0,    0,    0,    0,    0
  240,20141201,    9,   80,   60,   40,   90,   15,     ,   -1,    0,    3,    0,    0,10139,   56,    8,   89,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   10,   80,   50,   50,   80,   15,     ,   -2,    0,    6,    0,    0,10146,   56,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   11,   70,   50,   50,   70,   17,     ,    1,    0,   10,    0,    0,10141,   50,    8,   89,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   12,   80,   50,   60,   80,   16,   12,   -1,    0,   11,    0,    0,10134,   50,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   13,   90,   50,   40,   80,   17,     ,   -3,    0,   11,    0,    0,10132,   50,    8,   87,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   14,   90,   50,   60,  100,   17,     ,   -3,    0,    8,    0,    0,10131,   56,    8,   87,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   15,   80,   50,   60,   80,   17,     ,   -4,    0,    4,    0,    0,10134,   50,    8,   86,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   16,   80,   50,   40,   80,   17,     ,   -3,    0,    1,    0,    0,10135,   50,    8,   87,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   17,   70,   40,   40,   60,   17,     ,   -3,    0,    0,    0,    0,10133,   50,    8,   87,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   18,   80,   50,   50,   80,   14,   13,   -6,    0,    0,    0,    0,10132,   50,    8,   86,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   19,   70,   40,   40,   70,   13,     ,   -5,    0,    0,    0,    0,10136,   56,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   20,   70,   30,   30,   60,   13,     ,   -8,    0,    0,    0,    0,10139,   56,    8,   86,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   21,   60,   30,   40,   60,   13,     ,   -7,    0,    0,    0,    0,10137,   56,    8,   86,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   22,   70,   30,   30,   60,   15,     ,   -3,    0,    0,    0,    0,10138,   56,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   23,   80,   40,   40,   50,   13,     ,   -5,    0,    0,    0,    0,10137,   50,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141201,   24,   70,   40,   40,   60,   10,   10,   -6,    0,    0,    0,    0,10134,   50,    8,   89,   10,    7,    0,    0,    0,    0,    0
  240,20141202,    1,   70,   30,   30,   50,    8,     ,  -10,    0,    0,    0,    0,10135,   50,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20141202,    2,   70,   30,   30,   50,    9,     ,   -8,    0,    0,    0,    0,10136,   50,    8,   88,   10,    7,    0,    0,    0,    0,    0
